,KM_estimate,timeline,Arm,Event
298,0.0008796397830880265,0.0748095748509154,Inclisiran,MI
299,0.0008796397830880265,0.0748421502283585,Inclisiran,MI
300,0.0008796397830880265,0.074856795471054,Inclisiran,MI
301,0.0008796397830880265,0.0757853641884032,Inclisiran,MI
302,0.0008845280866267569,0.0761436347970231,Inclisiran,MI
303,0.0008894163901658203,0.0763534216157965,Inclisiran,MI
304,0.0008894163901658203,0.0770655890489962,Inclisiran,MI
305,0.0008894163901658203,0.0771070964057592,Inclisiran,MI
306,0.0008943047415385097,0.077164222030255,Inclisiran,MI
307,0.000899193092910533,0.078312667395383,Inclisiran,MI
308,0.000899193092910533,0.0784430544330508,Inclisiran,MI
309,0.000899193092910533,0.0787015844397191,Inclisiran,MI
310,0.0009040814921185136,0.0790097661810238,Inclisiran,MI
311,0.0009040814921185136,0.0790190336175636,Inclisiran,MI
312,0.0009089699152448061,0.079386827086778,Inclisiran,MI
313,0.0009089699152448061,0.0794233669248741,Inclisiran,MI
314,0.0009089699152448061,0.0795606605249801,Inclisiran,MI
315,0.0009089699152448061,0.0803597532084421,Inclisiran,MI
316,0.0009138584101270331,0.0810581660813349,Inclisiran,MI
317,0.0009187469050098152,0.0812172153807843,Inclisiran,MI
318,0.0009187469050098152,0.081677124828738,Inclisiran,MI
319,0.0009187469050098152,0.0823056622046704,Inclisiran,MI
320,0.000923635447730442,0.0825421303916673,Inclisiran,MI
321,0.0009285239904525122,0.0826172230625209,Inclisiran,MI
322,0.0009334125331740273,0.0827271515074296,Inclisiran,MI
323,0.0009334125331740273,0.0829981899164071,Inclisiran,MI
324,0.0009383010998158525,0.0830340123766556,Inclisiran,MI
325,0.0009431896664581219,0.083334391602363,Inclisiran,MI
326,0.0009480782331007243,0.0836274277477478,Inclisiran,MI
327,0.0009529667997416613,0.0836441315858207,Inclisiran,MI
328,0.0009578553663841527,0.0840243375839571,Inclisiran,MI
329,0.0009578553663841527,0.0848299835213527,Inclisiran,MI
330,0.0009578553663841527,0.0848384837433488,Inclisiran,MI
331,0.0009627439808689298,0.085282206747323,Inclisiran,MI
332,0.0009676325953524856,0.0855160954558055,Inclisiran,MI
333,0.0009725212098365965,0.0858997788931973,Inclisiran,MI
334,0.0009774098243225948,0.0859250706959928,Inclisiran,MI
335,0.0009822984388068168,0.0863826735991738,Inclisiran,MI
336,0.0009871870532907057,0.0868174487804879,Inclisiran,MI
337,0.0009920756677740394,0.0870518348473397,Inclisiran,MI
338,0.0009969642822584834,0.0870872467693564,Inclisiran,MI
339,0.0010018528967437046,0.0877647312238907,Inclisiran,MI
340,0.0010018528967437046,0.0878682631394681,Inclisiran,MI
341,0.0010018528967437046,0.0882782700839429,Inclisiran,MI
342,0.0010018528967437046,0.0883637511896716,Inclisiran,MI
343,0.0010067415829966286,0.0885134991739118,Inclisiran,MI
344,0.0010116302692491086,0.0885556586594353,Inclisiran,MI
345,0.0010165189555026988,0.088921767877581,Inclisiran,MI
346,0.0010214076417555118,0.0893434301345621,Inclisiran,MI
347,0.0010214076417555118,0.0901670048918242,Inclisiran,MI
348,0.0010262963519315216,0.0906535603601773,Inclisiran,MI
349,0.0010311850621077534,0.0907452093681964,Inclisiran,MI
350,0.0010360737722856506,0.0908932905822684,Inclisiran,MI
351,0.0010360737722856506,0.0914976013000108,Inclisiran,MI
352,0.0010409625063872996,0.0918420310555546,Inclisiran,MI
353,0.0010458512404882825,0.0919698060865123,Inclisiran,MI
354,0.0010507399745900425,0.0920572088087007,Inclisiran,MI
355,0.0010556287086905813,0.0923465516512807,Inclisiran,MI
356,0.0010605174427915642,0.0927476454698941,Inclisiran,MI
357,0.0010654061768925471,0.0930462500922804,Inclisiran,MI
358,0.00107029491099353,0.0936560352281926,Inclisiran,MI
359,0.0010751836450959562,0.0937774504135886,Inclisiran,MI
360,0.00108007237919594,0.0939351740671442,Inclisiran,MI
361,0.00108007237919594,0.0940516332627473,Inclisiran,MI
362,0.0010849611372233392,0.0943439025887911,Inclisiran,MI
363,0.0010849611372233392,0.0948029931388984,Inclisiran,MI
364,0.0010849611372233392,0.0948815663146267,Inclisiran,MI
365,0.0010849611372233392,0.0951091891115785,Inclisiran,MI
366,0.0010898499670283224,0.095701055105514,Inclisiran,MI
367,0.0010947387968346378,0.0961433543307958,Inclisiran,MI
368,0.0010947387968346378,0.0965875766595982,Inclisiran,MI
369,0.0010996276505663705,0.0967745799738175,Inclisiran,MI
370,0.0011045165042986582,0.0969285162195612,Inclisiran,MI
371,0.00110940535803139,0.097053089656922,Inclisiran,MI
372,0.00110940535803139,0.0972658800914663,Inclisiran,MI
373,0.00110940535803139,0.0980170999356077,Inclisiran,MI
374,0.0011142942596192862,0.0986400861096542,Inclisiran,MI
375,0.0011142942596192862,0.0987824658763392,Inclisiran,MI
376,0.0011191831851357081,0.0989485449329518,Inclisiran,MI
377,0.0011191831851357081,0.0992233603803536,Inclisiran,MI
378,0.0011240721345802118,0.0995227811682923,Inclisiran,MI
379,0.0011289610840249376,0.0996729914317686,Inclisiran,MI
380,0.0011289610840249376,0.0997429383501152,Inclisiran,MI
381,0.0011338500573985222,0.1004041638533184,Inclisiran,MI
382,0.00113873903077355,0.1006861600465293,Inclisiran,MI
383,0.00113873903077355,0.1008882361790575,Inclisiran,MI
384,0.00113873903077355,0.1010588571572684,Inclisiran,MI
385,0.00114362805200674,0.1011522985376068,Inclisiran,MI
386,0.0011485170732385974,0.1014948044851923,Inclisiran,MI
387,0.0011485170732385974,0.1015535543711379,Inclisiran,MI
388,0.0011485170732385974,0.1025847427533785,Inclisiran,MI
389,0.0011485170732385974,0.1028699069951044,Inclisiran,MI
390,0.0011534061662626938,0.103060308099624,Inclisiran,MI
391,0.001158295259286013,0.1034482757142015,Inclisiran,MI
392,0.0011631843523102203,0.1039474458859569,Inclisiran,MI
393,0.0011680734453332065,0.1039916868682779,Inclisiran,MI
394,0.001172962538358191,0.104263397260357,Inclisiran,MI
395,0.001172962538358191,0.1042817250281724,Inclisiran,MI
396,0.0011778516553129226,0.104545008454911,Inclisiran,MI
397,0.0011827407722689864,0.1045552712641134,Inclisiran,MI
398,0.0011876298892226078,0.1046343941547755,Inclisiran,MI
399,0.0011925190061790047,0.1048195780938559,Inclisiran,MI
400,0.0011925190061790047,0.1054357912112728,Inclisiran,MI
401,0.0011974081470669251,0.105533791142849,Inclisiran,MI
402,0.0012022972879550675,0.1055625681143291,Inclisiran,MI
403,0.0012071864288414336,0.1057724598755171,Inclisiran,MI
404,0.001212075569729354,0.1058283828705266,Inclisiran,MI
405,0.0012169647106167192,0.1059160362756851,Inclisiran,MI
406,0.0012218538515034183,0.1060458079388313,Inclisiran,MI
407,0.0012218538515034183,0.1060699569529423,Inclisiran,MI
408,0.0012218538515034183,0.1064687185923679,Inclisiran,MI
409,0.0012267430402582713,0.1069555945775606,Inclisiran,MI
410,0.0012267430402582713,0.1071718063566818,Inclisiran,MI
411,0.0012316322529450918,0.10720250958693,Inclisiran,MI
412,0.0012365214656314683,0.1074387394896469,Inclisiran,MI
413,0.0012365214656314683,0.1074487353400314,Inclisiran,MI
414,0.0012414107022523657,0.1078054400137195,Inclisiran,MI
415,0.0012462999388740403,0.1080729086291783,Inclisiran,MI
416,0.0012462999388740403,0.1086579770922317,Inclisiran,MI
417,0.0012511891994293478,0.1092104551897016,Inclisiran,MI
418,0.0012560784599863206,0.1092528349703325,Inclisiran,MI
419,0.0012560784599863206,0.1093546106497509,Inclisiran,MI
420,0.0012560784599863206,0.1099687395008534,Inclisiran,MI
421,0.0012560784599863206,0.1103875910934042,Inclisiran,MI
422,0.001260967792348744,0.1111057139175802,Inclisiran,MI
423,0.001260967792348744,0.1111161451253041,Inclisiran,MI
424,0.0012658571486463543,0.1112142293262446,Inclisiran,MI
425,0.0012658571486463543,0.11142221779268,Inclisiran,MI
426,0.0012658571486463543,0.1117237925725117,Inclisiran,MI
427,0.0012658571486463543,0.1126684246650076,Inclisiran,MI
428,0.0012658571486463543,0.1127750763564651,Inclisiran,MI
429,0.0012707466006903756,0.1130113959430968,Inclisiran,MI
430,0.001275636052735285,0.113417816611286,Inclisiran,MI
431,0.0012805255047789732,0.1135738998822352,Inclisiran,MI
432,0.0012805255047789732,0.1136539409982117,Inclisiran,MI
433,0.001285414980760402,0.1139393293201136,Inclisiran,MI
434,0.00129030445674172,0.1140539774739164,Inclisiran,MI
435,0.0012951939327227047,0.1141448587619642,Inclisiran,MI
436,0.0012951939327227047,0.1144938231006963,Inclisiran,MI
437,0.0012951939327227047,0.1150757981099444,Inclisiran,MI
438,0.0012951939327227047,0.1151821320320041,Inclisiran,MI
439,0.0012951939327227047,0.1156991290397968,Inclisiran,MI
440,0.0012951939327227047,0.1158451237148015,Inclisiran,MI
441,0.0013000835283961676,0.1159976950172,Inclisiran,MI
442,0.0013049731240711848,0.1169386095430754,Inclisiran,MI
443,0.0013049731240711848,0.1170420692164959,Inclisiran,MI
444,0.0013049731240711848,0.1171027615303615,Inclisiran,MI
445,0.0013049731240711848,0.1173899461567505,Inclisiran,MI
446,0.0013098627915654193,0.1174889588758776,Inclisiran,MI
447,0.0013147524590583215,0.1177652679249577,Inclisiran,MI
448,0.0013196421265512237,0.1178267416122796,Inclisiran,MI
449,0.0013245317940459023,0.1180374117479741,Inclisiran,MI
450,0.0013245317940459023,0.1181034544903585,Inclisiran,MI
